Ticker;Value;Bazin Profit;Graham Profit
ELET3;35,5;-0,4569742519561816;1,0319682725140837
MERC4;9,1;-0,13119597069597067;1,0643983946408402
USIM3;5,85;1,0578490028490029;2,0221513991778983
SOND5;40;1,9508485708333332;0,27884017277375195
RAPT3;8,63;0,3483513583108022;0,7221894256640771
USIM5;5,86;1,2597741277967391;2,0169941442304955
CPLE3;8,33;0,5336978924903295;0,698032446692862
EQPA5;8;-0,2753354166666666;-0,14733872493234457
BBDC4;12,1;0,5370116758494035;0,8180925973601136
REDE3;6,39;0,9221674752217006;-0,1082901449191278
EKTR4;46,57;0,5685917257175579;-0,2441832135029377
MELK3;3,88;0,5083302405498282;0,9389726994291805
GGBR3;19,8;1,3456790123456788;0,8819621279059682
SANB4;12,94;0,5171309290743606;0,8686984866870373
POMO4;8,41;-0,6161976483022856;0,057039131393582965
BBSE3;36,64;-0,022121838609898137;-0,338437574381512
ITUB4;32,06;-0,44823456019962593;0,33773317269959313
EQPA7;8,24;-0,29644215210355984;-0,17217351935179082
ALUP4;9,07;-0,18534913634693118;0,5651398066340907
ALUP11;27,19;-0,20109517183605086;0,5665970738623476
TGMA3;31,11;-0,349069906068074;0,05889532403837805
ALUP3;9,12;-0,189815423976608;0,5565589962907023
GGBR4;20;1,322222222222222;0,8631425066269085
CEAB3;9,91;-1;0,677377966293931
TTEN3;14,87;-0,9512560038855264;0,13195105359291492
ELET6;40,13;-0,20159031065703126;0,7975298697794659
MDIA3;21,22;-0,2758527070897474;0,6627246207671422
CPLE6;9,2;0,5275368115942027;0,5374576392338632
CURY3;19,52;-0,3700637323542806;-0,3041837974410555
VAMO3;5,6;-0,2122640773809522;0,4590963140147495
DMVF3;5,7;-1;1,7528630274035484
SOND6;46;1,565955314009662;0,11203493284674093
DIRR3;28,21;-0,5411398637205088;0,037487883963476465
PSSA3;38,65;-0,11140596234008926;0,13474798268453614
BMKS3;317,9;0,4608323546887563;0,7707222606850077
UCAS3;1,89;0,7525778953556734;0,8884886864290376
RAPT4;10,23;0,1374655153687414;0,4528342857752674
PATI4;33;0,24428484848484877;0,6032662941374882
BMIN4;16,05;-0,030806507442021513;1,087288556318402
EMAE4;39,3;0,7317656545094715;0,3316087729248016
TUPY3;23,07;-0,5453055989018927;0,5882656344586903
LJQQ3;2,55;-0,3242832244008713;0,6733200530681516
MYPK3;11,85;0,0030185185185185315;1,3042216885815887
ENGI3;10,98;-0,22991297308237202;0,19542934976834037
EVEN3;5,63;0,46466450562463013;0,9398214901528308
CPLE5;11;0,35379803030303036;0,28587366190468555
BPAC11;30,18;-0,6631311648626758;0,03744553333079481
PTNT4;6;-0,32069888888888887;0,7226614583254598
MULT3;22,5;-0,45381102222222214;0,17047378821094883
VIVA3;21,41;-0,8066449504385282;0,00024037874613846988
ODPV3;10,6;-0,4242456656184487;-0,32670650032585846
BMOB3;14,62;-0,6398271013831889;0,38441616128518796
ARML3;5,85;-0,40757900284900284;0,18671143234934728
WHRL3;4,07;0,5213486213486214;-0,0866194571361848
OPCT3;5,59;-1;-0,3309863881682681
BMIN3;19,5;-1;0,7179990425082234
